,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.C_mid_CO2_scaled,feature_importance.C_mid_CO2_fd1_scaled,feature_importance.C_mid_CO2_fd2_scaled,feature_importance.C_mid_CO2_fd3_scaled,feature_importance.C_top_CO2_scaled,feature_importance.C_top_CO2_fd1_scaled,feature_importance.C_top_CO2_fd2_scaled,feature_importance.C_top_CO2_fd3_scaled
84,84,0.9228269699431356,0.9181739879414298,0.9243841186319062,0.9574025352786415,0.0034930950446790954,0.07798537774167347,0.054346060113728556,0.005848903330625488,0.005361494719740123,0.02761982128350926,0.007311129163281804,0.03062550771730288
85,85,0.9285134037367994,0.9246575342465754,0.930578808897393,0.9512636530335645,0.0025995125913890194,0.017059301380990877,0.0740048740861089,0.025507717303005717,0.0036555645816410687,0.027863525588952,0.051177904142973296,0.006092607636068226
86,86,0.9268887083671812,0.9214659685863874,0.9274668473783518,0.9543543543543542,0.002924451665312744,0.030544272948822226,0.07961007311129165,0.016815597075548472,0.005361494719740123,0.0038992688870838066,0.06904955320877337,0.006092607636068115
87,87,0.9260763606823721,0.9218884120171674,0.9279239416407558,0.9500677668819262,0.0019496344435419033,0.06864337936636888,0.0480097481722177,0.01900893582453289,0.007798537774167391,0.07619821283509354,0.036555645816409466,0.0016246953696181787
88,88,0.9179528838342811,0.9125541125541126,0.919074384118632,0.947362406654442,0.00203086921202289,0.09138911454102361,0.01762794476035745,0.030138099106417626,0.003330625507717233,0.024207961007311152,0.07116165718927703,0.00982940698619017
89,89,0.9309504467912266,0.9265341400172861,0.9322942411437987,0.9567594142815382,0.007636068237205529,0.034768480909829425,0.04987814784727862,0.0050365556458162875,0.005848903330625599,0.0232331437855402,0.06401299756295709,0.010560519902518273
90,90,0.9203899268887084,0.9153713298791019,0.9217292513752691,0.9517287198703127,0.0025995125913891304,0.008854589764419218,0.02063363119415096,0.04110479285134039,-0.0017059301380992764,0.03062550771730299,0.013160032493907181,0.005280259951259136
91,91,0.9268887083671812,0.9226804123711341,0.9286746923915066,0.9548938318849823,0.006498781478472826,0.023720552396425787,0.06441917140536157,0.01543460601137292,0.005523964256701985,0.03728675873273757,0.03631194151096662,0.004955320877335523
92,92,0.9260763606823721,0.9213483146067416,0.9273871216349092,0.9563421828908555,0.002437043054427379,0.006580016246953813,0.05946385052802605,0.046547522339561276,0.0030056864337938416,0.027538586515028607,0.01982128350934198,0.021689683184402897
93,93,0.9187652315190902,0.9128919860627178,0.9194225198649978,0.9568125647771664,-0.0006498781478474491,0.07692932575142164,0.014378554021121093,0.0348497156783103,-0.0027619821283508816,0.023314378554021187,0.009666937449228197,0.03744922826969943
94,94,0.925264012997563,0.9208261617900172,0.9269047808870818,0.9642031411942917,0.00243704305442749,0.061819658813972334,0.0344435418359057,0.01941510966693749,0.0019496344435419033,0.04524776604386671,0.02087733549959392,0.02282696994313571
95,95,0.925264012997563,0.9212328767123288,0.9273073958914667,0.9513247761035372,0.0038992688870836956,0.05085296506904946,0.08025995125913887,0.007311129163282026,-0.00032493907392361354,0.020958570268074794,0.036393176279447714,0.015759545085296645
96,96,0.9277010560519903,0.9237360754070265,0.9296938531451806,0.9557894177363203,0.00422420796100742,0.03988627132412681,0.08375304630381808,0.021121039805036546,0.005361494719740012,0.039561332250203085,0.040373679935012174,0.01543460601137292
