,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.leftlow_CO2_scaled,feature_importance.leftlow_CO2_fd1_scaled,feature_importance.leftlow_CO2_fd2_scaled,feature_importance.leftlow_CO2_fd3_scaled
157,157,0.9182879377431906,0.8955223880597015,0.9315546772068511,0.9829380764163372,0.07859922178988321,0.11673151750972754,0.08326848249027241,0.10272373540856028
158,158,0.914396887159533,0.8921568627450981,0.9309288537549407,0.9853096179183135,0.10583657587548634,0.14085603112840472,0.10038910505836574,0.03657587548638119
159,159,0.8910505836575876,0.8666666666666667,0.9127470355731224,0.9830698287220025,0.024124513618676957,0.13307392996108958,0.08599221789883271,0.0723735408560312
160,160,0.9105058365758755,0.8855721393034826,0.9230895915678524,0.9774044795783926,0.1684824902723735,0.15914396887159532,0.10272373540856028,0.09844357976653695
161,161,0.867704280155642,0.8380952380952381,0.8873517786561265,0.9493412384716733,0.2252918287937743,-0.0035019455252919274,0.00038910505836564635,-0.004280155642023442
162,162,0.933852140077821,0.9154228855721394,0.9484848484848485,0.9828722002635046,0.06264591439688705,0.163035019455253,0.15136186770428017,0.08715953307392998
163,163,0.9299610894941635,0.9090909090909091,0.9406455862977603,0.9909749670619236,0.06186770428015553,0.16070038910505846,0.12490272373540856,0.05914396887159523
164,164,0.9027237354085603,0.8768472906403941,0.9170289855072464,0.9775362318840579,0.043579766536964826,0.11945525291828796,0.13073929961089503,0.05214007782101171
165,165,0.9027237354085603,0.8803827751196173,0.9242424242424243,0.9814229249011858,0.04357976653696505,0.08754863813229574,0.09182879377431907,0.09260700389105059
166,166,0.9571984435797666,0.9430051813471503,0.964262187088274,0.9896574440052701,0.2280155642023346,0.22178988326848248,0.15175097276264593,0.09961089494163433
167,167,0.9260700389105059,0.9045226130653267,0.9376152832674571,0.9844532279314888,0.12879377431906613,0.1684824902723736,0.11945525291828796,0.039299610894941606
168,168,0.8988326848249028,0.8737864077669902,0.9164031620553359,0.9776021080368906,0.10856031128404664,0.10311284046692604,0.09999999999999998,0.09999999999999998
169,169,0.9377431906614786,0.9166666666666666,0.941897233201581,0.9852437417654809,0.1245136186770428,0.1603112840466927,0.10933852140077827,0.06498054474708181
170,170,0.8949416342412452,0.8708133971291866,0.9157773386034256,0.9759552042160738,0.023735408560311422,0.1116731517509727,0.06225680933852151,0.046692607003890885
171,171,0.9299610894941635,0.9108910891089109,0.9454545454545454,0.9837285902503293,0.08015564202334613,0.15447470817120634,0.12529182879377432,0.06848249027237341
172,172,0.9027237354085603,0.8803827751196173,0.9242424242424243,0.9857048748353097,0.12217898832684837,0.1657587548638132,0.15175097276264593,0.0933852140077821
173,173,0.914396887159533,0.89,0.9261198945981555,0.9806324110671937,0.10311284046692604,0.15369649805447472,0.11206225680933846,0.07548638132295715
174,174,0.9299610894941635,0.9081632653061225,0.9382411067193676,0.9831357048748354,0.06186770428015553,0.12568093385214008,0.09494163424124524,0.08482490272373544
175,175,0.8715953307392996,0.8421052631578947,0.8903820816864295,0.9812252964426876,0.13929961089494158,0.1447470817120622,0.067704280155642,0.009338521400778066
176,176,0.9299610894941635,0.9072164948453608,0.935836627140975,0.9853754940711463,0.03540856031128403,0.17198443579766542,0.10038910505836585,0.11167315175097281
177,177,0.9260700389105059,0.9054726368159204,0.9400197628458498,0.9845191040843215,0.20311284046692601,0.095330739299611,0.09883268482490282,0.046692607003890996
178,178,0.9260700389105059,0.9064039408866995,0.9424242424242424,0.9804347826086957,0.22568093385214016,0.12217898832684826,0.08793774319066161,0.1007782101167316
